Time,BS,Energy,load,ESMODE,TXpower
20230104 200000,B_1,17.48878924,0.03683,0.0,6.87593423
20230104 210000,B_1,19.58146487,0.03035,0.0,6.87593423
20230104 230000,B_1,21.67414051,0.05901,0.0,6.87593423
20230105 000000,B_1,21.37518685,0.10912,0.0,6.87593423
20230105 010000,B_1,16.89088191,0.09952,0.0,6.87593423
20230105 020000,B_1,16.59192825,0.02489,0.0,6.87593423
20230105 030000,B_1,15.99402093,0.02199,0.0,6.87593423
20230105 060000,B_1,16.89088191,0.01106,0.0,6.87593423
20230105 100000,B_1,18.23617339,0.04835,0.0,6.87593423
20230105 120000,B_1,18.23617339,0.06234,0.0,6.87593423
20230105 130000,B_1,18.23617339,0.03923,0.0,6.87593423
20230105 160000,B_1,17.7877429,0.04257,0.0,6.87593423
20230105 170000,B_1,18.83408072,0.03149,0.0,6.87593423
20230105 210000,B_1,19.88041854,0.0592,0.0,6.87593423
20230106 000000,B_1,17.93721973,0.03928,0.0,6.87593423
20230106 040000,B_1,15.24663677,0.01625,0.0,6.87593423
20230106 060000,B_1,16.44245142,0.01022,0.0,6.87593423
20230106 070000,B_1,17.93721973,0.02919,0.0,6.87593423
20230106 090000,B_1,16.59192825,0.06113,0.0,6.87593423
20230106 100000,B_1,16.29297459,0.02686,0.0,6.87593423
20230106 110000,B_1,18.38565022,0.02144,0.0,6.87593423
20230106 150000,B_1,18.53512706,0.02903,0.0,6.87593423
20230106 160000,B_1,16.89088191,0.0571,0.0,6.87593423
20230106 180000,B_1,17.18983558,0.03079,0.0,6.87593423
20230106 190000,B_1,17.63826607,0.03374,0.0,6.87593423
20230106 200000,B_1,17.63826607,0.04326,0.0,6.87593423
20230106 220000,B_1,19.7309417,0.03475,0.0,6.87593423
20230107 060000,B_1,16.14349776,0.01113,0.0,6.87593423
20230107 090000,B_1,18.23617339,0.05049,0.0,6.87593423
20230107 100000,B_1,17.48878924,0.05172,0.0,6.87593423
20230107 150000,B_1,16.44245142,0.0345,0.0,6.87593423
20230107 170000,B_1,16.74140508,0.03718,0.0,6.87593423
20230107 230000,B_1,19.58146487,0.07545,0.0,6.87593423
20230101 010000,B_2,52.61584454,0.154010638,0.0,7.1017189835
20230101 030000,B_2,50.37369208,0.076893617,0.0,7.1017189835
20230101 040000,B_2,50.67264574,0.078829787,0.0,7.1017189835
20230101 060000,B_2,52.76532138,0.067968085,0.0,7.1017189835
20230101 070000,B_2,58.59491779,0.124361702,0.0,7.1017189835
20230101 080000,B_2,58.89387145,0.217223404,0.0,7.1017189835
20230101 100000,B_2,55.90433483,0.170904255,0.0,7.1017189835
20230101 110000,B_2,56.35276532,0.163734043,0.0,7.1017189835
20230101 120000,B_2,55.00747384,0.185223404,0.0,7.1017189835
20230101 130000,B_2,54.85799701,0.158617021,0.0,7.1017189835
20230101 140000,B_2,55.3064275,0.152925532,0.0,7.1017189835
20230101 150000,B_2,59.04334828,0.146680851,0.0,7.1017189835
20230101 160000,B_2,57.99701046,0.237861702,0.0,7.1017189835
20230101 170000,B_2,60.23916293,0.211670213,0.0,7.1017189835
20230101 180000,B_2,61.28550075,0.256914894,0.0,7.1017189835
20230101 190000,B_2,59.79073244,0.26812766,0.0,7.1017189835
20230101 200000,B_2,60.23916293,0.251680851,0.0,7.1017189835
20230101 210000,B_2,63.67713004,0.266691489,0.0,7.1017189835
20230101 220000,B_2,63.37817638,0.324606383,0.0,7.1017189835
20230101 230000,B_2,62.4813154,0.326957447,0.0,7.1017189835
20230102 000000,B_2,56.20328849,0.213061375,0.0,7.1017189835
20230102 010000,B_2,53.06427504,0.10690671000000002,0.0,7.1017189835
20230102 020000,B_2,52.31689088,0.0886497545,0.0,7.1017189835
20230102 040000,B_2,50.52316891,0.0620128885,0.0,7.1017189835
20230102 060000,B_2,53.66218236,0.0641045415,0.0,7.1017189835
20230102 070000,B_2,58.14648729,0.1109781095,0.0,7.1017189835
20230102 080000,B_2,58.44544096,0.1423874795,0.0,7.1017189835
20230102 090000,B_2,62.92974589,0.163440057,0.0,7.1017189835
20230102 110000,B_2,54.85799701,0.131576105,0.0,7.1017189835
20230102 120000,B_2,53.81165919,0.0948459495,0.0,7.1017189835
20230102 130000,B_2,58.14648729,0.096277823,0.0,7.1017189835
20230102 140000,B_2,56.35276532,0.1407495905,0.0,7.1017189835
20230102 150000,B_2,57.24962631,0.12248302,0.0,7.1017189835
20230102 160000,B_2,57.10014948,0.1355801965,0.0,7.1017189835
20230102 180000,B_2,59.64125561,0.158476064,0.0,7.1017189835
20230102 190000,B_2,57.39910314,0.1577291325,0.0,7.1017189835
20230102 220000,B_2,65.17189836,0.1621673485,0.0,7.1017189835
20230102 230000,B_2,61.28550075,0.22225061399999999,0.0,7.1017189835
20230103 000000,B_2,56.05381166,0.305382979,0.0,7.1017189835
20230103 010000,B_2,52.31689088,0.159638298,0.0,7.1017189835
20230103 020000,B_2,52.16741405,0.097085106,0.0,7.1017189835
20230103 030000,B_2,51.4200299,0.09212766,0.0,7.1017189835
20230103 040000,B_2,51.56950673,0.081776596,0.0,7.1017189835
20230103 050000,B_2,52.46636771,0.092085106,0.0,7.1017189835
20230103 060000,B_2,51.4200299,0.112670213,0.0,7.1017189835
20230103 070000,B_2,54.26008969,0.086446809,0.0,7.1017189835
20230103 090000,B_2,56.80119581,0.153691489,0.0,7.1017189835
20230103 100000,B_2,57.39910314,0.172148936,0.0,7.1017189835
20230103 110000,B_2,58.14648729,0.18756383,0.0,7.1017189835
20230103 120000,B_2,56.05381166,0.21006383,0.0,7.1017189835
20230103 130000,B_2,58.14648729,0.178244681,0.0,7.1017189835
20230103 140000,B_2,56.50224215,0.22812766,0.0,7.1017189835
20230103 150000,B_2,54.55904335,0.187819149,0.0,7.1017189835
20230103 170000,B_2,58.29596413,0.219053191,0.0,7.1017189835
20230103 180000,B_2,59.34230194,0.220861702,0.0,7.1017189835
20230103 200000,B_2,59.49177877,0.188212766,0.0,7.1017189835
20230103 210000,B_2,60.98654709,0.252606383,0.0,7.1017189835
20230103 230000,B_2,68.60986547,0.390861702,0.0,7.1017189835
20230104 000000,B_2,65.32137519,0.466244681,0.0,7.1017189835
20230104 010000,B_2,58.44544096,0.405968085,0.0,7.1017189835
20230104 020000,B_2,55.00747384,0.229553191,0.0,7.1017189835
20230104 030000,B_2,55.3064275,0.159702128,0.0,7.1017189835
20230104 050000,B_2,50.22421525,0.093340426,0.0,7.1017189835
20230104 060000,B_2,50.22421525,0.065819149,0.0,7.1017189835
20230104 070000,B_2,52.31689088,0.068851064,0.0,7.1017189835
20230104 080000,B_2,54.85799701,0.105159574,0.0,7.1017189835
20230104 090000,B_2,57.39910314,0.157723404,0.0,7.1017189835
20230104 100000,B_2,55.60538117,0.189606383,0.0,7.1017189835
20230104 130000,B_2,55.60538117,0.156851064,0.0,7.1017189835
20230104 140000,B_2,54.70852018,0.169723404,0.0,7.1017189835
20230104 150000,B_2,53.81165919,0.149957447,0.0,7.1017189835
20230104 160000,B_2,56.80119581,0.123861702,0.0,7.1017189835
20230104 180000,B_2,57.10014948,0.191180851,0.0,7.1017189835
20230104 190000,B_2,56.80119581,0.192244681,0.0,7.1017189835
20230104 200000,B_2,58.14648729,0.191085106,0.0,7.1017189835
20230104 210000,B_2,62.4813154,0.235925532,0.0,7.1017189835
20230104 220000,B_2,61.58445441,0.314329787,0.0,7.1017189835
20230105 010000,B_2,53.96113602,0.105276596,0.0,7.1017189835
20230105 020000,B_2,52.01793722,0.123521277,0.0,7.1017189835
20230105 030000,B_2,51.4200299,0.080617021,0.0,7.1017189835
20230105 110000,B_2,55.45590433,0.140978723,0.0,7.1017189835
20230105 120000,B_2,54.55904335,0.157085106,0.0,7.1017189835
20230105 130000,B_2,55.15695067,0.133819149,0.0,7.1017189835
20230105 160000,B_2,56.95067265,0.238457447,0.0,7.1017189835
20230105 170000,B_2,58.44544096,0.200734043,0.0,7.1017189835
20230105 180000,B_2,62.92974589,0.236638298,0.0,7.1017189835
20230105 190000,B_2,59.34230194,0.306457447,0.0,7.1017189835
20230105 210000,B_2,63.22869955,0.239957447,0.0,7.1017189835
20230105 230000,B_2,60.23916293,0.236861702,0.0,7.1017189835
20230106 000000,B_2,56.20328849,0.251351064,0.0,7.1017189835
20230106 050000,B_2,49.92526158,0.077351064,0.0,7.1017189835
20230106 060000,B_2,51.56950673,0.073095745,0.0,7.1017189835
20230106 070000,B_2,56.35276532,0.096659574,0.0,7.1017189835
20230106 090000,B_2,55.00747384,0.199170213,0.0,7.1017189835
20230106 100000,B_2,54.85799701,0.154521277,0.0,7.1017189835
20230106 110000,B_2,55.45590433,0.145670213,0.0,7.1017189835
20230106 150000,B_2,55.90433483,0.176968085,0.0,7.1017189835
20230106 160000,B_2,56.05381166,0.153797872,0.0,7.1017189835
20230106 170000,B_2,59.04334828,0.163446809,0.0,7.1017189835
20230106 180000,B_2,63.07922272,0.234393617,0.0,7.1017189835
20230106 200000,B_2,60.83707025,0.194010638,0.0,7.1017189835
20230106 220000,B_2,62.92974589,0.292414894,0.0,7.1017189835
20230107 090000,B_2,55.45590433,0.213755319,0.0,7.1017189835
20230107 100000,B_2,57.10014948,0.164042553,0.0,7.1017189835
20230107 150000,B_2,55.3064275,0.268521277,0.0,7.1017189835
20230107 170000,B_2,59.04334828,0.221287234,0.0,7.1017189835
20230107 230000,B_2,60.83707025,0.349574468,0.0,7.1017189835
20230101 010000,B_3,27.35426009,0.29013,0.0,6.87593423
20230101 020000,B_3,22.86995516,0.20083,0.0,6.87593423
20230101 030000,B_3,21.52466368,0.13261,0.0,6.87593423
20230101 040000,B_3,20.92675635,0.11407,0.0,6.87593423
20230101 050000,B_3,20.1793722,0.09681,0.0,6.87593423
20230101 060000,B_3,26.60687593,0.08716,0.0,6.87593423
20230101 070000,B_3,41.10612855,0.20926,0.0,6.87593423
20230101 090000,B_3,34.82810164,0.59483,0.0,6.87593423
20230101 100000,B_3,32.73542601,0.33244,0.0,6.87593423
20230101 110000,B_3,30.49327354,0.29309,0.0,6.87593423
20230101 120000,B_3,31.68908819,0.25125,0.0,6.87593423
20230101 130000,B_3,32.43647235,0.25632,0.0,6.87593423
20230101 140000,B_3,31.2406577,0.26222,0.0,6.87593423
20230101 160000,B_3,41.85351271,0.28216,0.0,6.87593423
20230101 190000,B_3,47.23467862,0.89704,0.0,6.87593423
20230101 200000,B_3,40.65769806,0.57875,0.0,6.87593423
20230101 210000,B_3,46.18834081,0.44258,0.0,6.87593423
20230101 230000,B_3,47.98206278,0.60173,0.0,6.87593423
20230102 010000,B_3,29.14798206,0.41504,0.0,6.87593423
20230102 050000,B_3,20.1793722,0.11219,0.0,6.87593423
20230102 060000,B_3,24.5142003,0.07689,0.0,6.87593423
20230102 070000,B_3,42.75037369,0.15304,0.0,6.87593423
20230102 080000,B_3,47.98206278,0.50545,0.0,6.87593423
20230102 100000,B_3,36.02391629,0.37074,0.0,6.87593423
20230102 120000,B_3,33.93124066,0.34843,0.0,6.87593423
20230102 130000,B_3,32.58594918,0.30449,0.0,6.87593423
20230102 140000,B_3,34.37967115,0.27511,0.0,6.87593423
20230102 170000,B_3,47.68310912,0.36877,0.0,6.87593423
20230102 180000,B_3,54.11061286,0.59449,0.0,6.87593423
20230102 190000,B_3,48.28101644,0.72949,0.0,6.87593423
20230102 200000,B_3,41.85351271,0.59117,0.0,6.87593423
20230102 210000,B_3,44.09566517,0.46964,0.0,6.87593423
20230102 230000,B_3,43.79671151,0.67727,0.0,6.87593423
20230103 000000,B_3,34.23019432,0.48131,0.0,6.87593423
20230103 010000,B_3,29.44693572,0.3251,0.0,6.87593423
20230103 020000,B_3,24.81315396,0.22189,0.0,6.87593423
20230103 030000,B_3,24.06576981,0.1434,0.0,6.87593423
20230103 060000,B_3,23.61733931,0.07536,0.0,6.87593423
20230103 070000,B_3,29.59641256,0.14633,0.0,6.87593423
20230103 090000,B_3,35.5754858,0.34076,0.0,6.87593423
20230103 100000,B_3,35.72496263,0.34128,0.0,6.87593423
20230103 110000,B_3,36.92077728,0.34519,0.0,6.87593423
20230103 120000,B_3,37.21973094,0.35805,0.0,6.87593423
20230103 130000,B_3,37.07025411,0.36067,0.0,6.87593423
20230103 140000,B_3,37.9671151,0.36188,0.0,6.87593423
20230103 150000,B_3,39.46188341,0.38434,0.0,6.87593423
20230103 160000,B_3,44.39461883,0.40508,0.0,6.87593423
20230103 170000,B_3,54.11061286,0.50924,0.0,6.87593423
20230103 180000,B_3,53.81165919,0.73519,0.0,6.87593423
20230103 190000,B_3,44.84304933,0.71811,0.0,6.87593423
20230103 210000,B_3,49.47683109,0.49883,0.0,6.87593423
20230103 230000,B_3,49.62630792,0.61727,0.0,6.87593423
20230104 010000,B_3,27.95216741,0.38635,0.0,6.87593423
20230104 020000,B_3,24.81315396,0.17999,0.0,6.87593423
20230104 060000,B_3,20.02989537,0.08831,0.0,6.87593423
20230104 070000,B_3,25.41106129,0.08795,0.0,6.87593423
20230104 080000,B_3,27.20478326,0.17552,0.0,6.87593423
20230104 100000,B_3,31.98804185,0.27145,0.0,6.87593423
20230104 110000,B_3,35.12705531,0.26804,0.0,6.87593423
20230104 120000,B_3,37.81763827,0.33127,0.0,6.87593423
20230104 140000,B_3,37.21973094,0.36989,0.0,6.87593423
20230104 150000,B_3,40.65769806,0.36212,0.0,6.87593423
20230104 160000,B_3,38.11659193,0.43546,0.0,6.87593423
20230104 180000,B_3,39.76083707,0.41211,0.0,6.87593423
20230104 190000,B_3,38.41554559,0.42296,0.0,6.87593423
20230104 210000,B_3,46.78624813,0.40403,0.0,6.87593423
20230104 220000,B_3,49.0284006,0.56763,0.0,6.87593423
20230104 230000,B_3,46.78624813,0.61643,0.0,6.87593423
20230105 000000,B_3,37.9671151,0.5637,0.0,6.87593423
20230105 010000,B_3,33.632287,0.39098,0.0,6.87593423
20230105 030000,B_3,21.07623318,0.13128,0.0,6.87593423
20230105 100000,B_3,31.09118087,0.34426,0.0,6.87593423
20230105 110000,B_3,29.44693572,0.24801,0.0,6.87593423
20230105 120000,B_3,29.59641256,0.21585,0.0,6.87593423
20230105 130000,B_3,31.83856502,0.22202,0.0,6.87593423
20230105 170000,B_3,44.6935725,0.32581,0.0,6.87593423
20230105 180000,B_3,55.15695067,0.52587,0.0,6.87593423
20230105 190000,B_3,50.07473842,0.76372,0.0,6.87593423
20230105 200000,B_3,41.40508221,0.64028,0.0,6.87593423
20230105 210000,B_3,44.84304933,0.43991,0.0,6.87593423
20230106 000000,B_3,30.34379671,0.39169,0.0,6.87593423
20230106 030000,B_3,20.1793722,0.13622,0.0,6.87593423
20230106 040000,B_3,18.08669656,0.09028,0.0,6.87593423
20230106 050000,B_3,18.53512706,0.05936,0.0,6.87593423
20230106 060000,B_3,23.61733931,0.06839,0.0,6.87593423
20230106 070000,B_3,38.11659193,0.15566,0.0,6.87593423
20230106 090000,B_3,35.87443946,0.57151,0.0,6.87593423
20230106 110000,B_3,29.74588939,0.30164,0.0,6.87593423
20230106 150000,B_3,31.09118087,0.26045,0.0,6.87593423
20230106 170000,B_3,43.19880419,0.30849,0.0,6.87593423
20230106 190000,B_3,50.37369208,0.73009,0.0,6.87593423
20230106 200000,B_3,38.56502242,0.65115,0.0,6.87593423
20230106 220000,B_3,46.93572496,0.61454,0.0,6.87593423
20230107 060000,B_3,24.36472347,0.10511,0.0,6.87593423
20230107 090000,B_3,32.28699552,0.53728,0.0,6.87593423
20230107 100000,B_3,30.19431988,0.30712,0.0,6.87593423
20230107 150000,B_3,30.04484305,0.24754,0.0,6.87593423
